Country,Active,Fatal,Recovered
Afghanistan,84,2,0
Albania,146,5,0
Algeria,302,21,0
Argentina,387,8,0
Armenia,265,0,0
Australia,2364,8,0
Austria,5588,30,0
Azerbaijan,93,2,0
Bahrain,419,4,0
Bangladesh,39,5,0
Belarus,86,0,0
Belgium,4937,178,0
Belize,2,0,0
Bhutan,2,0,0
Bolivia,32,0,0
Bosnia and Herzegovina,176,3,0
Botswana,0,0,0
Brazil,2554,59,0
Brunei,109,0,0
Bulgaria,242,3,0
Cambodia,96,0,0
Cameroon,75,1,0
Canada,3251,30,0
Caribbean,0,0,0
Chile,1142,3,0
China,81661,3285,0
Colombia,470,4,0
Congo (DRC),0,0,0
Costa Rica,201,2,0
Côte d’Ivoire,0,0,0
Croatia,442,1,0
Cuba,57,1,0
Czechia,1654,6,0
Denmark,1862,34,0
Djibouti,11,0,0
Dominican Republic,392,10,0
Ecuador,1173,28,0
Egypt,456,21,0
El Salvador,9,0,0
Eritrea,4,0,0
Estonia,404,1,0
Ethiopia,12,0,0
Faroe Islands,0,0,0
Finland,880,3,0
France,25600,1333,0
Georgia,75,0,0
Germany,37323,206,0
Greece,821,22,0
Greenland,0,0,0
Guatemala,24,1,0
Haiti,8,0,0
Honduras,36,0,0
Hong Kong SAR,0,0,0
Hungary,226,10,0
Iceland,737,2,0
India,657,12,0
Indonesia,790,58,0
Iran,27017,2077,0
Iraq,346,29,0
Ireland,1564,9,0
Israel,2369,5,0
Italy,74386,7503,0
Jamaica,26,1,0
Japan,1307,45,0
Jordan,172,0,0
Kazakhstan,81,0,0
Kenya,28,0,0
Korea,0,0,0
Kuwait,195,0,0
Kyrgyzstan,44,0,0
Laos,3,0,0
Latin America,0,0,0
Latvia,221,0,0
Lebanon,333,6,0
Libya,1,0,0
Liechtenstein,51,0,0
Lithuania,274,4,0
Luxembourg,1333,8,0
Macao SAR,0,0,0
Malaysia,1796,20,0
Maldives,13,0,0
Mali,2,0,0
Malta,129,0,0
Mexico,405,5,0
Moldova,149,1,0
Monaco,31,0,0
Mongolia,10,0,0
Montenegro,52,1,0
Morocco,225,6,0
Myanmar,0,0,0
Nepal,3,0,0
Netherlands,6438,357,0
New Zealand,205,0,0
Nicaragua,2,0,0
Nigeria,51,1,0
North Macedonia,177,3,0
Norway,3084,14,0
Oman,99,0,0
Pakistan,1063,8,0
Panama,443,8,0
Paraguay,37,3,0
Peru,480,9,0
Philippines,636,38,0
Poland,1051,14,0
Portugal,2995,43,0
Puerto Rico,0,0,0
Qatar,537,0,0
Réunion,0,0,0
Romania,906,17,0
Russia,658,3,0
Rwanda,41,0,0
Saudi Arabia,900,2,0
Senegal,99,0,0
Serbia,384,4,0
Singapore,631,2,0
Slovakia,216,0,0
Slovenia,528,5,0
Somalia,1,0,0
South Africa,709,0,0
Spain,49515,3647,0
Sri Lanka,102,0,0
Sweden,2526,62,0
Switzerland,10897,153,0
Syria,5,0,0
Taiwan,0,0,0
Tajikistan,0,0,0
Thailand,934,4,0
Trinidad and Tobago,60,1,0
Tunisia,173,5,0
Turkey,2433,59,0
Turkmenistan,0,0,0
Ukraine,145,5,0
United Arab Emirates,333,2,0
United Kingdom,9640,466,0
United States,0,0,0
Uruguay,189,0,0
Uzbekistan,60,0,0
Venezuela,91,0,0
Vietnam,141,0,0
World,0,0,0
Yemen,0,0,0
Zimbabwe,3,1,0
